Dimension,Categories,Category ID,Question Number,Question,Bolivia_Evaluation,Bolivia_Justification,Bolivia_Sources,Brazil_Evaluation,Brazil_Justification,Brazil_Sources,Colombia_Evaluation,Colombia_Justification,Colombia_Sources,Peru_Evaluation,Peru_Justification,Peru_Sources,Ecuador_Evaluation,Ecuador_Justification,Ecuador_Sources,Guyana_Evaluation,Guyana_Justification,Guyana_Sources,Suriname_Evaluation,Suriname_Justification,Suriname_Sources,Venezuela_Evaluation,Venezuela_Justification,Venezuela_Sources,
I. Legal Frameworks,Legal Definitions and Rights Recognition,A,1,"Does national legislation clearly define the legal conditions under which gold mining is permitted, and distinguish them from activities considered illegal?",1,"Bolivia has Law No. 535, enacted in May 2014. This law aims to regulate all mining and metallurgical activities, establishing principles, guidelines, and procedures for granting, maintaining, and terminating mining rights (Art. 1). However, the mining regulatory framework does not include specific conditions for gold mining. Furthermore, Article 104 defines illegal mining as any activity involving the exploitation of natural resources without the authorization or rights granted in accordance with Law No. 535. While the law does not specify the type of mining and minerals to be exploited, it provides the general criteria governing mining within the national territory. Law No. 535 itself empowers the Mining Authority (AJAM) to be the body representing the Bolivian State in granting mining rights (Art. 40). Within this framework, the aforementioned authority promulgated the Regulations for the Granting and Termination of Mining Rights, approved by Ministerial Resolution No. 023/2015, dated January 30, 2015, and subsequently amended by Ministerial Resolution No. 096/2020, dated April 14, 2020.

Law No. 535 establishes the scope of mining rights, stipulating in Article 93, paragraph II, that mining activities may not be carried out in:

a) Within cities, towns, cemeteries, and public or private buildings.

b) In the vicinity of highways, canals, pipelines, railways, and power and communications transmission lines, up to one hundred (100) meters.

c) In the vicinity of watersheds, lakes, rivers, slopes, and reservoirs, restrictions will be subject to Environmental Impact Assessments with a multisectoral approach.

d) In the vicinity of airports, up to one thousand (1000) meters.

e) In the vicinity of military barracks and installations, up to three hundred (300) meters.

f) In areas of historical and archaeological monuments declared by law, up to one thousand (1000) meters.

With regard to subsection c), it should be noted that Bolivia does not yet have regulations establishing the procedure for the preparation and processing of Environmental Impact Assessments with a multisectoral approach, which creates a legal gap.

It should be considered that the aforementioned exclusions do not apply to Environmental Impact Assessments (EIAs) granted before the enactment of Law No. 535.","- Law No. 535 on Mining and Metallurgy. Available at: https://www.comibol.gob.bo/ images/noticias/Ley_535.pdf
 - Regulations on the Granting and Termination of Mining Rights. Available at: https://www.autoridadminera.gob.bo/index.php/reglamentos-2/
 - Ministerial Resolution No. 023/2015 dated January 30, 2015. Available at: https://www.autoridadminera.gob.bo/index.php/resoluciones-ministeriales-y-bi-ministerial/",1,"Brazilian legislation establishes a legal framework for gold mining, with clear distinctions between permitted and illegal activities, especially regarding artisanal and small-scale mining (MAPE). The main legal instrument regulating artisanal mining is Law No. 7,805, of July 18, 1989 [1], which instituted the Artisanal Mining Permit (PLG) regime. This regime was created to formalize and regulate artisanal mining activity, distinguishing it from illegal practices.","Law No. 7,805, of July 18, 1989. Available at: https://www.planalto.gov.br/ccivil_03/leis/l7805.htm",1,"Colombian legislation establishes a clear and detailed legal framework that defines the conditions for legal gold mining and distinguishes it from illegal activities. Law 685 of 2001, or the Mining Code, is the main regulation governing the sector and establishes that the right to explore and exploit state-owned minerals can only be acquired through a mining concession contract duly granted and registered in the National Mining Registry.

Article 159 of the Mining Code classifies the illicit exploitation of mineral deposits as a crime, establishing a clear distinction between legal activities covered by a mining title and those that are not. This distinction is reinforced by Decree 1666 of 2016, which classifies mining activities as subsistence, small-scale, medium-scale, and large-scale mining, establishing specific requirements and conditions for each.

The criminal classification of the offense is clarified, as Article 332 of Law 599 of 2000 identifies the illegal exploitation of mineral deposits and other materials as a crime.

The National Mining Agency (ANM) is the authority responsible for administering mining titles and public registries, which allows for a clear distinction between legal and illegal operations. Through its information systems, such as the National Mining Registry, the ANM provides public access to information on current mining titles, contributing to transparency and ensuring legality in the sector.","Law 685 of 2001 (Mining Code). Available at: https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=9202

Decree 1666 of 2016. Available at: https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=77883

Law 599 of 2000 (Colombian Penal Code). Available at: https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=6388

National Mining Agency (ANM). Available at: https://www.anm.gov.co/",1,"Peruvian legislation, through Legislative Decree No. 1100, establishes a clear framework for the interdiction of illegal mining and defines the conditions under which gold mining is illegal. This law explicitly prohibits the use of dredges and other similar devices in all waterways, rivers, lakes, lagoons, oxbow lakes, bodies of water, wetlands, and palm swamps, as well as the use of mercury and cyanide in illegal mining activities. Furthermore, Law No. 27651, the Law for the Formalization and Promotion of Small-Scale and Artisanal Mining, establishes the conditions for legal small-scale mining, distinguishing it from illegal mining. The General Mining Law – Consolidated Text of Supreme Decree No. 014-92-EM – also defines mining activity, who may engage in it, and under what conditions. It regulates mining concessions, rights, obligations, authorizations, and oversight. Finally, Legislative Decree No. 1105 (2012) – Mining Formalization Process – establishes an exceptional process for the formalization of informal small-scale and artisanal gold mining. It outlines the conditions for registration, production declaration, and compliance with environmental and tax obligations. Therefore, Peruvian legislation clearly distinguishes between legal and illegal mining.","Legislative Decree No. 1100 (Legislative Decree regulating the prohibition of illegal mining throughout the Republic and establishing complementary measures)
https://spij.minjus.gob.pe/spij-ext-web/#/detallenorma/H1049650
Law No. 27651 (Law for the Formalization and Promotion of Small-Scale and Artisanal Mining)
https://spij.minjus.gob.pe/spij-ext-web/#/detallenorma/H820249
Supreme Decree No. 014-92-EM (Consolidated Text of the General Mining Law)
https://spij.minjus.gob.pe/spij-ext-web/#/detallenorma/H754834
Legislative Decree No. 1105 (Legislative Decree which establishes provisions for the formalization process of small-scale and artisanal mining activities)
https://spij.minjus.gob.pe/spij-ext-web/#/detallenorma/H1053469",1,"Mining activity is recognized by the Ecuadorian Constitution (CRE) as part of the strategic sectors, under the responsibility of the State and governed by environmental principles (Arts. 313 and 316 CRE). Minerals are state property, but the State may delegate its participation to private initiatives, mixed-ownership companies, or the so-called popular and solidarity economy (Art. 1 Mining Law, LM). Accordingly, the LM clearly defines the legal conditions that differentiate legal from illegal mining, which lie in the granting of mining rights (Art. 16 LM) derived from: concession titles, contracts, or authorizations issued by the competent authority (Art. 17 LM) depending on the regime (Arts. 133 to 137 LM) and phases (Art. 27 LM) of the mining activity. Hence, Art. Article 56 of the Mining Law defines illegal mining as “mining operations, work, and activities in any of their phases without any title or corresponding legal permit.” This is complemented by Article 57 of the Mining Law: “Illegal mining activity carried out by natural or legal persons, or groups of persons, whether national or foreign, without the titles, authorizations, permits, or licenses…”.

Therefore, legal mining activity is that carried out by an authorized holder. Conversely, anyone who carries out such activity without authorized title is engaging in illegal mining, which is considered (classified) as an administrative offense (Article 57 of the Mining Law) and even a criminal offense (Article 260 of the Comprehensive Organic Criminal Code, COIP). In criminal matters, a more technical term is used: illicit activity of mining resources since the unlawfulness refers not only to the Mining Law but also to the other rules of the legal system applicable to the matter, including the Regulation to the Mining Law (RLM), the Environmental Regulation of Mining Activities (RAAM) and applicable secondary regulations (agreements, ministerial resolutions).","Constitution of the Republic of Ecuador.
Mining Law.
Comprehensive Organic Criminal Code.",1,"Guyana's national legislation provides a clear and comprehensive framework that defines the legal conditions for gold mining and distinguishes permitted activities from illegal ones. The Mining Act 1989 establishes that all minerals are vested in the State and that any person wishing to engage in mining must do so under a license or permit granted by the Guyana Geology and Mines Commission (GGMC). Section 14(1)(a) of the Act explicitly prohibits mining without such authorization, thereby creating a clear legal distinction between legal and illegal mining operations. This legal structure provides a solid foundation for regulating the mining sector and enforcing compliance.","
Mining Act 1989 (Act No. 20 of 1989). Available at: https://www.parliament.gov.gy/new2/documents/acts/8532-act_20_of_1989_mining.pdf Guyana Geology and Mines Commission (GGMC) website. Available at: https://www.ggmc.gov.gy/
Secondary Sources:
Dentons Global Mining Guide: Guyana (January 17, 2022). Available at: 
https://www.dentons.com/en/insights/newsletters/2022/january/17/dentons-global-mining-guide/dentons-global-mining-guide-2022/guyana 

",1,"Suriname's Mining Decree 1986 clearly establishes that mining activities are only permitted if they comply with lawful regulations and after rights have been granted by the competent authority [1]. This implies a distinction between legal, permitted mining activities and those conducted without such authorization, which would be considered illegal. The decree sets the foundational legal conditions for mining operations."," Mining Decree 1986 (Decree of 8 May 1986 containing general rules concerning the
exploration and exploitation of minerals), Article 2, paragraph 6. URL:
https://www.staatsolie.com/media/0vwhuuv3/mining-decree-1986.pdf",1,"Current Venezuelan legislation—comprising the Organic Law Decree reserving to the State the Exploration and Exploitation of Gold and other Strategic Minerals (Decree No. 2,165, of December 30, 2015), the Mining Law (1999), and its General Regulations (2001)—establishes the conditions under which gold mining can be carried out legally.
Any mining activity carried out without state participation, without official registration, or that fails to comply with the environmental or commercialization conditions established by law is considered illegal.

Conditions for legality: Exploitation is reserved to the State. Private participation is only possible through partnerships with the State via Joint Ventures or through the formation of Strategic Alliances, signed between the State and groups of people organized in companies or other associative forms permitted by law, for the execution of primary and related activities in the exploitation of gold and other strategic minerals, with the exception of marketing, which is exclusively reserved for the State.
Activities considered illegal: Exploration and exploitation activities carried out without authorization are illegal; that is, those carried out by individuals who are not part of a Strategic Alliance, who are not registered in the Single Mining Registry, or who violate environmental regulations and/or the inspections of the relevant Ministry.","Decree No. 295 with the Rank and Force of a Mining Law. Official Gazette of the Bolivarian Republic of Venezuela No. 5382 Extraordinary of September 28, 1999. Decree No. 2,165 with the Rank, Value and Force of an Organic Law that Reserves to the State the Activities of Exploration and Exploitation of Gold and other Strategic Minerals. Official Gazette of the Bolivarian Republic of Venezuela No. 6,210 Extraordinary of December 30, 2015. Decree No. 1234. General Regulations of the Mining Law. Official Gazette of the Bolivarian Republic of Venezuela 37,155 of March 9, 2001.","Decree No. 295 with the Rank and Force of a Mining Law. Official Gazette of the Bolivarian Republic of Venezuela No. 5382 Extraordinary of September 28, 1999. Decree No. 2,165 with the Rank, Value and Force of an Organic Law that Reserves to the State the Activities of Exploration and Exploitation of Gold and other Strategic Minerals. Official Gazette of the Bolivarian Republic of Venezuela No. 6,210 Extraordinary of December 30, 2015. Decree No. 1234. General Regulations of the Mining Law. Official Gazette of the Bolivarian Republic of Venezuela 37,155 of March 9, 2001."
I. Legal Frameworks,Legal Definitions and Rights Recognition,A,2,"Does national legislation provide a clear legal definition of artisanal and small-scale mining (ASM), distinct from large-scale or industrial mining?",1,"Indeed, Law No. 535 does not define MAPE (Small-Scale Mining), and there is no Bolivian legislation that defines or characterizes MAPE. However, as mentioned in the justification for Criterion 2, Article 33, paragraph II of Law No. 535 introduces the concept of small-scale mining, indicating that it refers to those who work on a small scale, using manual, semi-mechanized, or mechanized methods, and further specifying that their work can be individual, family-based, jointly owned, or through a company.

Furthermore, the Environmental Regulations for Mining Activities (RAAM), in Article 93, define minor mining activities with known but insignificant environmental impacts (AMIAC) as “underground mining activities located in unprotected areas of the Western Cordillera, the Altiplano, and the Eastern Cordillera on both flanks, comprising:
1) exploration, development, preparation, and exploitation through galleries (cut-offs and stopes), pits, ramps, shafts, raises, and stopes with an extraction capacity equal to or less than three hundred (300) tons/month; and/or
2) mineral concentration on a scale equal to or less than 300 tons/month with one or more of the following processes: crushing and grinding (manual and mechanical), gravimetric and magnetic classification and concentration, sulfide separation by surface flotation, amalgamation, and drying, storage, and transportation of the resulting concentrates.”

According to the above, AMIAC could also be considered small-scale activities. However, it is necessary to have a characterization and definition of mining activities that can be classified as MAPE, in order to have clear policies and specific regulations for MAPE.","- Law No. 535 on Mining and Metallurgy. Available at: https://www.comibol.gob.bo/ images/noticias/Ley_535.pdf
 - Environmental Regulations for Mining Activities. Available at: https://sea.gob.bo/digesto/CompendioII/N/149_DS_24782.pdf",1,"Brazilian national legislation provides a legal definition for artisanal and small-scale mining (ASSM), primarily through Law No. 7,805 of July 18, 1989, and the Prospector Statute (Law No. 11,685 of June 25, 2008). While these laws define ASSM, the differentiation from large-scale or industrial mining is more implicit, based on the nature of the activity, the scale, and the legal regime under which it operates, rather than explicit comparative definitions in the same legal texts.","Law No. 7,805, of July 18, 1989. Available at: https://www.planalto.gov.br/ccivil_03/leis/l7805.htm
 Law No. 11,685, of June 2, 2008. Available at: https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11685.htm",1,"Colombia has legislation that clearly defines artisanal and small-scale mining (ASM) and distinguishes it from large-scale mining. Decree 1666 of 2016 is the key regulation establishing this classification, defining specific criteria based on the concession area (in hectares) and the annual production volume (in grams or tons).

The decree defines ""Subsistence Mining"" as an activity carried out by individuals or groups, limited to open-pit mining and the collection of river minerals, using only hand tools and without mechanized equipment. This definition includes traditional panning, which is also regulated in the Mining Code (Article 155).

The classification by scale is established as follows:

Small-scale mining: Concessions of up to 150 hectares and production of up to 10,000 grams of precious metals per year.

The decree defines ""Subsistence Mining"" as an activity carried out by individuals or groups, limited to open-pit mining and the collection of river minerals, using only hand tools and without mechanized equipment. Medium-scale mining: Concessions of more than 150 and up to 5,000 hectares, with production of more than 10,000 and up to 1,000,000 grams per year.

Large-scale mining: Concessions of more than 5,000 hectares and production of more than 1,000,000 grams per year.

This detailed classification provides a clear basis for the differentiated regulation of small-scale artisanal and small-scale mining, allowing for the application of specific policies and requirements for each type of operation.","Law 685 of 2001 (Mining Code). Available at: https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=9202
Decree 1666 of 2016. Available at: https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=77883",1,"Article 91 of the Consolidated Text of the General Mining Law (Supreme Decree 014-92-EM) defines artisanal and small-scale mining producers based on their installed production and/or processing capacity. The law establishes technical parameters expressed in metric tons per day, clearly differentiating these categories from medium and large-scale mining, which exceed these values.","Law No. 27651 (Law for the Formalization and Promotion of Small-Scale and Artisanal Mining)
https://spij.minjus.gob.pe/spij-ext-web/#/detallenorma/H820249
Supreme Decree No. 014-92-EM (Consolidated Text of the General Mining Law)
https://spij.minjus.gob.pe/spij-ext-web/#/detallenorma/H754834",1,"The Mining Law (LM) establishes mining regimes for artisanal, small-scale, medium-scale, and large-scale mining, which differ in several factors such as production volume, deposit characteristics, and the means employed. Within this framework, the LM provides clear definitions of artisanal and small-scale mining (the term ""small-scale mining"" is not used in Ecuador).

Artisanal Mining: Article 134 of the LM, in conjunction with Article 18 of the Regulations for the Special Regime of Small-Scale and Artisanal Mining, defines it as mining carried out through ""individual, family, or associative work by those who perform mining activities in open areas, solely and exclusively as a means of subsistence..."" Article 134 of the LM adds the following characteristics: (i) use of machinery and equipment with limited load and production capacities, (ii) carrying out the activity within the permitted territorial jurisdiction, (iii) not subject to the payment of royalties or patents, but subject to the tax regime. and (iv) production capacity: a) for metallic minerals up to 10 tons per day in underground mining and 120 cubic meters per day in alluvial mining, b) for non-metallic minerals up to 50 tons per day, c) for construction materials up to 100 cubic meters per day for alluvial or unconsolidated material mining and 50 metric tons per day in open-pit mining in hard rock.

Small-scale mining.—Article 138 of the Mining Law, in conjunction with Article 4 of the Regulations for the Special Regime for Small-Scale and Artisanal Mining, defines it as that which, “due to the geological and mining characteristics and conditions of the deposits of metallic and non-metallic mineral substances and construction materials, as well as their technical and economic parameters, makes their rational exploitation viable directly, without prejudice to prior exploration work, or to the simultaneous carrying out of exploration and exploitation.” 138.1 LM indicates this production capacity: a) for metallic minerals: up to 300 tonnes per day in underground mining; up to 1000 tonnes per day in open-pit mining; and, up to 1500 cubic meters per day in alluvial mining; b) for non-metallic minerals: up to 1000 tonnes per day; and, c) for construction materials: up to 800 cubic meters for alluvial terrace mining; and, 500 metric tons per day in open-pit mining in hard rock (quarry).","Mining Law.
Regulations for the Special Regime of Small-Scale and Artisanal Mining.

https://www.lexis.com.ec/biblioteca/ley-mineria",0,"While Guyana's legal framework recognizes different scales of mining (small, medium, and large), it does not provide a clear and distinct legal definition of ""artisanal"" mining. The National Mineral Sector Policy Framework and Actions, 2019-2029 notes that the term ""artisanal"" is considered a ""socially-loaded term"" and is not typically used in the country's legal framework. Instead, the framework uses the term ""small-scale mining"" to encompass what is generally understood as artisanal mining. The Mining Act 1989 distinguishes between different categories of mining operations but does not specifically define ""artisanal"" mining as a distinct category. This lack of a specific legal definition for artisanal mining can create ambiguity and may hinder the development of targeted policies and support mechanisms for this sub-sector.","National Mineral Sector Policy Framework and Actions, 2019-2029. Ministry of Natural Resources, Guyana. Available at: https://nre.gov.gy/wp-content/uploads/2018/10/National-Mineral-Sector-Policy-Framewor k-and-Actions-2019-2029.pdf 
Mining Act 1989 (Act No. 20 of 1989). Available at: https://www.parliament.gov.gy/new2/documents/acts/8532-act_20_of_1989_mining.pdf
Secondary Sources:
PlanetGOLD Technical Report On the Artisanal and Small-Scale Gold Mining in Guyana. 
Available at: 
https://www.planetgold.org/sites/default/files/planetGOLD%20-%20GUY%20Technical%
20Report%20-%20FINAL.pdf 
",0,"Suriname's Mining Decree of 1986 defines ""small-scale mining"" as operations with small capital investment, low technological sophistication, and at least 51% ownership by Surinamese citizens [1]. However, the National Action Plan (NAP) for ASGM notes that the mining legislation does not provide a direct definition of “artisanal” mining [2].  The lack of a clear distinction and definition for artisanal mining, while having one for small-scale mining, results in a score of 0","1. Mining Decree 1986, Article 1g.
2. First National Action Plan on Artisanal and Small-Scale Gold Mining in Suriname,
December 2023, Glossary of Terms. URL:
https://minamataconvention.org/sites/default/files/documents/national_action_plan/Surin
ame-NAP-2024-EN.pdf",1,"Current Venezuelan mining legislation distinguishes between small-scale, medium-scale, and large-scale mining. While the concept of artisanal mining is included in the 1999 Mining Law—whose Article 82 defines it as characterized by personal and direct labor in the exploitation of alluvial gold and diamonds, using simple, portable, manual equipment, rudimentary extraction and processing techniques, and which can only be carried out by Venezuelan citizens—this modality appears to disappear in Decree No. 2,165, the most recent and highest-ranking regulation (Organic Law).

This decree not only fails to separate artisanal mining from small-scale mining, considering it part of the latter, but also eliminates the possibility of personal or subsistence mining, leaving the use of rudimentary and portable tools as the sole differentiating criterion—a criterion that loses practical relevance within the alliance framework defined by said Organic Law as the only means of formally carrying out the activity.

Note: The concept of MAPE, as such, is not contemplated in Venezuelan legislation.","Decree No. 295 with the Rank and Force of a Mining Law. Official Gazette of the Bolivarian Republic of Venezuela No. 5382 Extraordinary of September 28, 1999. Decree No. 2,165 with the Rank, Value and Force of an Organic Law that Reserves to the State the Activities of Exploration and Exploitation of Gold and other Strategic Minerals. Official Gazette of the Bolivarian Republic of Venezuela No. 6,210 Extraordinary of December 30, 2015.","Decree No. 295 with the Rank and Force of a Mining Law. Official Gazette of the Bolivarian Republic of Venezuela No. 5382 Extraordinary of September 28, 1999. Decree No. 2,165 with the Rank, Value and Force of an Organic Law that Reserves to the State the Activities of Exploration and Exploitation of Gold and other Strategic Minerals. Official Gazette of the Bolivarian Republic of Venezuela No. 6,210 Extraordinary of December 30, 2015."
